gene,gene_name,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
ENSG00000162585,FAAP20,I: Ubiquitous,0.2605512713630679,0.0382466190755067,0.0711233847436431,0.17284353444795048
ENSG00000157933,SKI,I: Ubiquitous,0.0912098791162984,0.0617667512490735,0.0711233847436431,0.17284353444795048
ENSG00000116151,MORN1,IV: Basal,0.0535900375156315,0.0708824990764304,0.0711233847436431,0.17284353444795048
ENSG00000272420,ENSG00000272420,IV: Basal,0.0062786577740725,0.1183045607288406,0.0711233847436431,0.17284353444795048
ENSG00000157916,RER1,I: Ubiquitous,0.3808618174239266,0.0766485166900601,0.0711233847436431,0.17284353444795048
ENSG00000157911,PEX10,I: Ubiquitous,0.0814141308878699,0.0856109145349097,0.0711233847436431,0.17284353444795048
ENSG00000157881,PANK4,IV: Basal,0.0441329720716965,0.0846779571211269,0.0711233847436431,0.17284353444795048
ENSG00000272449,ENSG00000272449,IV: Basal,0.0541110879533138,0.1367924458302981,0.0711233847436431,0.17284353444795048
ENSG00000157873,TNFRSF14,IV: Basal,0.0572634431012922,0.0681051375566344,0.0711233847436431,0.17284353444795048
ENSG00000157870,PRXL2B,IV: Basal,0.0527042517715714,0.0686604492538021,0.0711233847436431,0.17284353444795048
ENSG00000237058,MMEL1-AS1,IV: Basal,0.0064870779491454,0.1191252851482059,0.0711233847436431,0.17284353444795048
ENSG00000215912,TTC34,IV: Basal,0.0067215506461025,0.1075152359692201,0.0711233847436431,0.17284353444795048
ENSG00000177133,PRDM16-DT,I: Ubiquitous,0.4805387661525636,0.1026654027866477,0.0711233847436431,0.17284353444795048
ENSG00000142611,PRDM16,I: Ubiquitous,0.2010473113797415,0.0820967658854025,0.0711233847436431,0.17284353444795048
ENSG00000130762,ARHGEF16,I: Ubiquitous,0.083863067944977,0.0584054408212332,0.0711233847436431,0.17284353444795048
ENSG00000162591,MEGF6,IV: Basal,0.0103167986661108,0.1029322694202497,0.0711233847436431,0.17284353444795048
ENSG00000158109,TPRG1L,I: Ubiquitous,0.081205710712797,0.0874090409568679,0.0711233847436431,0.17284353444795048
ENSG00000116213,WRAP73,IV: Basal,0.0459305960817007,0.0718156349362308,0.0711233847436431,0.17284353444795048
ENSG00000235169,SMIM1,I: Ubiquitous,0.0978532721967486,0.1396375437154779,0.0711233847436431,0.17284353444795048
ENSG00000130764,LRRC47,I: Ubiquitous,0.0838109629012088,0.0701824194911966,0.0711233847436431,0.17284353444795048
ENSG00000116198,CEP104,I: Ubiquitous,0.101682992913714,0.0711442842683731,0.0711233847436431,0.17284353444795048
