gene,coverage,A1_abs,A2_abs
Commd4,0.11618257261410789,0.1164596683370098,0.08245151932386899
Cope,0.2328838174273859,0.23286896437883398,0.044732809454875275
Cops5,0.1270746887966805,0.12695727854141287,0.060416279521864596
Cops6,0.12863070539419086,0.12848862892465762,0.032729918146159984
Cops9,0.43101659751037347,0.4305137921248389,0.06346187228636019
Copz2,0.14159751037344398,0.1411535227243046,0.10053146945008845
Coro1b,0.24844398340248963,0.2486918355219751,0.04595969282468661
Cotl1,0.10736514522821576,0.10957432679165827,0.3274762591002218
Cox14,0.229253112033195,0.2298609224781892,0.10474530050942651
Cox17,0.11825726141078838,0.11815861503730728,0.1791247280655817
Cox20,0.229253112033195,0.2291033843206207,0.17747725070011938
Cox4i1,0.8635892116182573,0.8641757937369252,0.03285294865650138
Cox5a,0.5409751037344398,0.5411082899825171,0.11669770717422054
Cox5b,0.5477178423236515,0.5477485255826421,0.11103480353034263
Cox6a1,0.6576763485477178,0.6580991804103942,0.03529211122158694
Cox6a2,0.48443983402489627,0.48372151900869514,0.15589828434243289
Cox6b1,0.7531120331950207,0.7542154792532325,0.05267136110249987
Cox6c,0.7982365145228216,0.7985217466743564,0.03883166554955284
Cox7a1,0.15560165975103735,0.15536807892695279,0.33256349211848374
Cox7a2,0.6353734439834025,0.6356657456337291,0.09964732580721637
Cox7a2l,0.36618257261410786,0.36751484356905545,0.10070341515575545
Cox7b,0.6338174273858921,0.6339708593996995,0.09577013215397634
Cox7c,0.66701244813278,0.667447222948043,0.056477929347820165
Cox8a,0.6908713692946058,0.6913010787528345,0.053883048467033
Cox8b,0.19968879668049794,0.19907806746897394,0.2934526317886325
Cpe,0.4221991701244813,0.423672400013549,0.05232503235753555
Creg1,0.11566390041493776,0.11603690428427374,0.04607978817855025
Crip1,0.7230290456431535,0.7236801618265033,0.016111524293696885
Crip2,0.7090248962655602,0.7108700453518971,0.07508772938158031
Cript,0.12188796680497925,0.12222745069370972,0.09320181597255069
Cryab,0.370850622406639,0.36928241054350674,0.2140397222845068
Csnk1a1,0.15404564315352698,0.15435706179151532,0.07190538778454415
Csnk2b,0.24066390041493776,0.24118873607490143,0.053969879714012105
Csrp1,0.26556016597510373,0.2641554157602619,0.20836284464385688
Csrp2,0.404045643153527,0.4043129356902265,0.10468736692871419
Csrp3,0.2603734439834025,0.25932737913947446,0.2727653201244223
Cst3,0.658195020746888,0.6582200779612495,0.06424308829928685
Ctla2a,0.2479253112033195,0.25103746823053175,0.317313592205631
Ctnna1,0.15560165975103735,0.15677850354937023,0.18711886217710869
Ctnnb1,0.17064315352697096,0.17160488889449388,0.15996446495303115
Ctsa,0.15197095435684646,0.15225938541733575,0.030913060343619785
Ctsb,0.3257261410788382,0.3266350117182477,0.037505632054179006
Ctsd,0.3537344398340249,0.35656578955911,0.15706619046186615
Ctsl,0.7868257261410788,0.7861941649415976,0.03508061258969059
Ctsz,0.15819502074688796,0.15890541115988763,0.06095211638835556
Cuta,0.18101659751037344,0.1809122970110733,0.02833548028851441
Cwc15,0.17012448132780084,0.1703125845982262,0.062955028981868
Cxcl12,0.14107883817427386,0.14019086983380072,0.2338208318452663
Cxx1b,0.10892116182572614,0.10906164425224146,0.09661498682421923
Cyb5a,0.370850622406639,0.371780183830807,0.07526517422987256
Cyb5r3,0.266597510373444,0.26861902753271844,0.17348454282985473
Cyba,0.1887966804979253,0.19039547372623566,0.1276822001184649
Cyc1,0.24014522821576764,0.23981909288553108,0.16964994753333548
Cycs,0.2572614107883817,0.2563746147939929,0.18742738114610097
Cygb,0.18049792531120332,0.17901340932556373,0.20858201025440928
Cyr61,0.14522821576763487,0.14471005370553455,0.08520134286575543
Cyth3,0.23236514522821577,0.23087057145509263,0.1640962416324113
Cytl1,0.14367219917012447,0.14532723900645017,0.24323915446286015
D10Jhu81e,0.12396265560165975,0.12415898865162235,0.17656669865740274
D8Ertd738e,0.24481327800829875,0.2451550775293701,0.07891988994560595
Dad1,0.43724066390041494,0.4369455875409959,0.025163794353131565
Dap,0.17738589211618258,0.1770891190715575,0.07179481828649568
Dazap2,0.16182572614107885,0.16247845356823234,0.08681487007010792
Dbi,0.42686721991701243,0.42607880927338554,0.08433880149950575
Dcn,0.6654564315352697,0.6606498058248301,0.1603701602360797
Dctn2,0.22977178423236513,0.2299677891931946,0.025637246725948158
Dctn3,0.15715767634854771,0.1576784982130888,0.1111338658339709
